#string_protein_id	preferred_name	protein_size	annotation
204669.Acid345_0111	speE	498	Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy-AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine
204669.Acid345_0112	ABF39117.1	487	annotation not available
204669.Acid345_0113	ABF39118.1	406	annotation not available
204669.Acid345_0114	ABF39119.1	395	annotation not available
204669.Acid345_0115	ABF39120.1	531	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
204669.Acid345_0116	ABF39121.1	365	Belongs to the peptidase M50B family. 
204669.Acid345_0117	ABF39122.1	186	annotation not available
204669.Acid345_0118	ABF39123.1	185	annotation not available
204669.Acid345_0119	ABF39124.1	447	Belongs to the folylpolyglutamate synthase family. 
204669.Acid345_0120	ABF39125.1	269	Belongs to the 1-acyl-sn-glycerol-3-phosphate acyltransferase family
204669.Acid345_0121	ABF39126.1	255	annotation not available
204669.Acid345_0122	ABF39127.1	256	annotation not available
204669.Acid345_0123	ABF39128.1	297	annotation not available
204669.Acid345_0124	ABF39129.1	197	annotation not available
204669.Acid345_0125	ABF39130.1	216	annotation not available
204669.Acid345_0126	aqpZ	246	Channel that permits osmotically driven movement of water in both directions. It is involved in the osmoregulation and in the maintenance of cell turgor during volume expansion in rapidly growing cells. It mediates rapid entry or exit of water in response to abrupt changes in osmolarity
204669.Acid345_0127	ABF39132.1	380	annotation not available
204669.Acid345_0128	ABF39133.1	196	annotation not available
204669.Acid345_0129	ABF39134.1	227	annotation not available
204669.Acid345_0130	ABF39135.1	414	annotation not available
204669.Acid345_0131	ABF39136.1	277	annotation not available
204669.Acid345_0132	valS	929	Catalyzes the attachment of valine to tRNA(Val). As ValRS can inadvertently accommodate and process structurally similar amino acids such as threonine, to avoid such errors, it has a 'posttransfer' editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA- dependent manner
204669.Acid345_0133	ABF39138.1	292	Belongs to the NadC/ModD family. 
204669.Acid345_0134	ABF39139.1	133	annotation not available
204669.Acid345_0135	birA	363	Acts both as a biotin--[acetyl-CoA-carboxylase] ligase and a repressor
204669.Acid345_0136	coaX	274	Catalyzes the phosphorylation of pantothenate (Pan), the first step in CoA biosynthesis
204669.Acid345_0137	ABF39142.1	228	annotation not available
204669.Acid345_0138	ABF39143.1	441	Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family
204669.Acid345_0139	ABF39144.1	97	annotation not available
204669.Acid345_0140	ABF39145.1	868	annotation not available
204669.Acid345_0141	ABF39146.1	93	annotation not available
204669.Acid345_0142	ABF39147.1	212	annotation not available
204669.Acid345_0143	ABF39148.1	300	annotation not available
204669.Acid345_0144	tgt	384	Catalyzes the base-exchange of a guanine (G) residue with the queuine precursor 7-aminomethyl-7-deazaguanine (PreQ1) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA, forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming PreQ1, allowing a nucleophilic attack on the C1' of the ribose to form the product. After dissociation, tw [...] 
204669.Acid345_0145	ABF39150.1	107	annotation not available
204669.Acid345_0146	secD	535	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA
204669.Acid345_0147	secF	404	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA
204669.Acid345_0148	ABF39153.1	244	Outer membrane transport energization protein TonB; TC 2.C.1.1.1
204669.Acid345_0149	ABF39154.1	251	Outer membrane transport energization protein ExbB; TC 2.C.1.1.1
204669.Acid345_0150	ABF39155.1	149	Outer membrane transport energization protein ExbD; TC 2.C.1.1.1
204669.Acid345_0151	ABF39156.1	148	Outer membrane transport energization protein ExbD; TC 2.C.1.1.1
204669.Acid345_0152	ABF39157.1	273	annotation not available
204669.Acid345_0153	ABF39158.1	518	This protein is a component of the acetyl coenzyme A carboxylase complex; first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA. 
204669.Acid345_0154	ABF39159.1	167	annotation not available
204669.Acid345_0155	ABF39160.1	83	annotation not available
204669.Acid345_0156	ABF39161.1	433	annotation not available
204669.Acid345_0157	ABF39162.1	317	annotation not available
204669.Acid345_0158	ABF39163.1	313	annotation not available
204669.Acid345_0159	ABF39164.1	283	annotation not available
204669.Acid345_0160	ABF39165.1	832	annotation not available
204669.Acid345_0161	Rdd	328	annotation not available
204669.Acid345_0162	ABF39167.1	755	annotation not available
204669.Acid345_0163	Transporter	435	Transporter, CPA2 family (2.A.37); 2.A.37
204669.Acid345_0164	ABF39169.1	602	annotation not available
204669.Acid345_0165	rpmB	62	Belongs to the bacterial ribosomal protein bL28 family. 
204669.Acid345_0166	ABF39171.1	514	Belongs to the glutamine synthetase family. 
204669.Acid345_0167	ABF39172.1	304	annotation not available
204669.Acid345_0168	ABF39173.1	224	annotation not available
204669.Acid345_0169	ABF39174.1	157	annotation not available
204669.Acid345_0170	ABF39175.1	127	annotation not available
204669.Acid345_0171	ABF39176.1	142	annotation not available
204669.Acid345_0172	ABF39177.1	132	annotation not available
204669.Acid345_0173	ABF39178.1	247	annotation not available
204669.Acid345_0174	ABF39179.1	125	annotation not available
204669.Acid345_0175	ABF39180.1	740	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance
204669.Acid345_0176	ABF39181.1	350	annotation not available
204669.Acid345_0177	ABF39182.1	263	annotation not available
204669.Acid345_0178	ABF39183.1	421	annotation not available
204669.Acid345_0179	ABF39184.1	164	annotation not available
204669.Acid345_0180	ABF39185.1	240	annotation not available
204669.Acid345_0181	ABF39186.1	183	annotation not available
204669.Acid345_0182	ABF39187.1	181	annotation not available
204669.Acid345_0183	ABF39188.1	126	annotation not available
204669.Acid345_0184	gltX2	480	Catalyzes the attachment of glutamate to tRNA(Glu) in a two- step reaction: glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu)
204669.Acid345_0185	ABF39190.1	1125	annotation not available
204669.Acid345_0186	ABF39191.1	119	annotation not available
204669.Acid345_0187	ispF	155	Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4-diphosphocytidyl-2- C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP)
204669.Acid345_0188	ispD	245	Catalyzes the formation of 4-diphosphocytidyl-2-C-methyl-D- erythritol from CTP and 2-C-methyl-D-erythritol 4-phosphate (MEP). 
204669.Acid345_0189	ABF39194.1	384	annotation not available
204669.Acid345_0190	ABF39195.1	722	annotation not available
204669.Acid345_0191	ABF39196.1	729	annotation not available
204669.Acid345_0192	ABF39197.1	323	annotation not available
204669.Acid345_0193	ABF39198.1	186	annotation not available
204669.Acid345_0194	Mov34/MPN/PAD-1	151	annotation not available
204669.Acid345_0195	ABF39200.1	152	annotation not available
204669.Acid345_0196	Fibronectin	354	annotation not available
204669.Acid345_0197	ABF39202.1	612	annotation not available
204669.Acid345_0198	ABF39203.1	140	annotation not available
204669.Acid345_0199	ABF39204.1	138	annotation not available
204669.Acid345_0200	ABF39205.1	371	annotation not available
204669.Acid345_0201	ABF39206.1	99	annotation not available
204669.Acid345_0202	ABF39207.1	127	annotation not available
204669.Acid345_0203	ABF39208.1	375	annotation not available
204669.Acid345_0204	ABF39209.1	453	annotation not available
204669.Acid345_0205	ABF39210.1	186	annotation not available
204669.Acid345_0206	ABF39211.1	625	annotation not available
204669.Acid345_0207	ABF39212.1	326	annotation not available
204669.Acid345_0208	ABF39213.1	312	annotation not available
204669.Acid345_0209	ABF39214.1	660	annotation not available
204669.Acid345_0210	ABF39215.1	129	annotation not available
204669.Acid345_0211	ABF39216.1	235	Belongs to the short-chain dehydrogenases/reductases (SDR) family
204669.Acid345_0212	hslU	472	ATPase subunit of a proteasome-like degradation complex; this subunit has chaperone activity. The binding of ATP and its subsequent hydrolysis by HslU are essential for unfolding of protein substrates subsequently hydrolyzed by HslV. HslU recognizes the N-terminal part of its protein substrates and unfolds these before they are guided to HslV for hydrolysis
204669.Acid345_0213	ABF39218.1	140	annotation not available
204669.Acid345_0214	hslV	180	Protease subunit of a proteasome-like degradation complex believed to be a general protein degrading machinery. 
204669.Acid345_0215	ABF39220.1	84	annotation not available
204669.Acid345_0216	ABF39221.1	183	annotation not available
204669.Acid345_0217	yidC	583	Required for the insertion and/or proper folding and/or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins. Aids folding of multispanning membrane proteins
204669.Acid345_0218	ABF39223.1	88	Could be involved in insertion of integral membrane proteins into the membrane
204669.Acid345_0219	rnpA	154	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme. 
204669.Acid345_0220	rpmH	51	Belongs to the bacterial ribosomal protein bL34 family. 
204669.Acid345_0221	ABF39226.1	132	annotation not available
204669.Acid345_0222	ABF39227.1	149	annotation not available
204669.Acid345_0223	ABF39228.1	553	annotation not available
204669.Acid345_0224	Aconitase	907	Catalyzes the isomerization of citrate to isocitrate via cis- aconitate
204669.Acid345_0225	ABF39230.1	445	Belongs to the dGTPase family. Type 2 subfamily. 
204669.Acid345_0226	ABF39231.1	174	annotation not available
204669.Acid345_0227	ABF39232.1	119	annotation not available
204669.Acid345_0228	ABF39233.1	122	annotation not available
204669.Acid345_0229	ABF39234.1	282	annotation not available
204669.Acid345_0230	mntH	426	H(+)-stimulated, divalent metal cation uptake system. 
204669.Acid345_0231	purD	425	Belongs to the GARS family
204669.Acid345_0232	Oxidoreductase	346	annotation not available
204669.Acid345_0233	ABF39238.1	155	annotation not available
204669.Acid345_0234	ABF39239.1	186	annotation not available
204669.Acid345_0235	lpxA	264	Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell
204669.Acid345_0236	fabZ	166	Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs
204669.Acid345_0237	ABF39242.1	388	annotation not available
204669.Acid345_0238	tatA	60	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin- arginine motif in their signal peptide across membranes. TatA could form the protein-conducting channel of the Tat system. 
204669.Acid345_0239	ABF39244.1	142	annotation not available
204669.Acid345_0240	ABF39245.1	193	Nucleoside triphosphate pyrophosphatase that hydrolyzes dTTP and UTP. May have a dual role in cell division arrest and in preventing the incorporation of modified nucleotides into cellular nucleic acids. 
204669.Acid345_0241	ABF39246.1	581	annotation not available
204669.Acid345_0242	ABF39247.1	161	annotation not available
204669.Acid345_0243	ABF39248.1	410	annotation not available
204669.Acid345_0244	lepA	601	Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back-translocation proceeds from a post-translocation (POST) complex to a pre- translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP- dependent manner
204669.Acid345_0245	ABF39250.1	255	Outer membrane transport energization protein TonB; TC 2.C.1.1.1
204669.Acid345_0246	ABF39251.1	152	annotation not available
204669.Acid345_0247	ABF39252.1	216	annotation not available
204669.Acid345_0248	ABF39253.1	926	annotation not available
204669.Acid345_0249	ABF39254.1	180	annotation not available
204669.Acid345_0250	ABF39255.1	96	annotation not available
204669.Acid345_0251	ABF39256.1	107	annotation not available
204669.Acid345_0252	ABF39257.1	93	annotation not available
204669.Acid345_0253	ABF39258.1	128	annotation not available
204669.Acid345_0254	ABF39259.1	152	annotation not available
204669.Acid345_0255	ABF39260.1	398	Transporter, CPA2 family (2.A.37); 2.A.37
204669.Acid345_0256	ABF39261.1	125	annotation not available
204669.Acid345_0257	ABF39262.1	142	annotation not available
204669.Acid345_0258	recA	361	Can catalyze the hydrolysis of ATP in the presence of single- stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage
204669.Acid345_0259	pyrH	239	Catalyzes the reversible phosphorylation of UMP to UDP. 
204669.Acid345_0260	ABF39265.1	109	annotation not available
204669.Acid345_0261	frr	195	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another
204669.Acid345_0262	ABF39267.1	621	annotation not available
204669.Acid345_0263	ABF39268.1	894	annotation not available
204669.Acid345_0264	ABF39269.1	173	annotation not available
204669.Acid345_0265	ABF39270.1	248	Catalyzes the NADPH-dependent reduction of beta-ketoacyl-ACP substrates to beta-hydroxyacyl-ACP products, the first reductive step in the elongation cycle of fatty acid biosynthesis. 
204669.Acid345_0266	ABF39271.1	149	annotation not available
204669.Acid345_0267	ABF39272.1	118	annotation not available
204669.Acid345_0268	ABF39273.1	217	annotation not available
204669.Acid345_0269	ABF39274.1	202	annotation not available
204669.Acid345_0270	ABF39275.1	111	annotation not available
204669.Acid345_0271	ABF39276.1	328	annotation not available
204669.Acid345_0272	ABF39277.1	312	annotation not available
204669.Acid345_0273	ABF39278.1	183	Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) and O4-methylthymine (O4-MeT) in DNA. Repairs the methylated nucleobase in DNA by stoichiometrically transferring the methyl group to a cysteine residue in the enzyme. This is a suicide reaction: the enzyme is irreversibly inactivated. 
204669.Acid345_0274	ABF39279.1	90	annotation not available
204669.Acid345_0275	ABF39280.1	214	annotation not available
204669.Acid345_0276	glmM	463	Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate
204669.Acid345_0277	ABF39282.1	224	annotation not available
204669.Acid345_0278	dacA	292	Catalyzes the condensation of 2 ATP molecules into cyclic di- AMP (c-di-AMP), a second messenger used to regulate differing processes in different bacteria
204669.Acid345_0279	xseA	455	Bidirectionally degrades single-stranded DNA into large acid- insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides
204669.Acid345_0280	ABF39285.1	995	annotation not available
204669.Acid345_0281	ABF39286.1	351	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D-arabino- heptulosonate-7-phosphate (DAHP)
204669.Acid345_0282	ABF39287.1	335	annotation not available
204669.Acid345_0283	ABF39288.1	240	annotation not available
204669.Acid345_0284	ABF39289.1	310	annotation not available
204669.Acid345_0285	ABF39290.1	356	annotation not available
204669.Acid345_0286	ABF39291.1	190	annotation not available
204669.Acid345_0287	ABF39292.1	871	annotation not available
204669.Acid345_0288	ABF39293.1	186	annotation not available
204669.Acid345_0289	ABF39294.1	805	annotation not available
204669.Acid345_0290	ABF39295.1	227	annotation not available
204669.Acid345_0291	ABF39296.1	546	annotation not available
204669.Acid345_0292	ABF39297.1	903	annotation not available
204669.Acid345_0293	ABF39298.1	279	annotation not available
204669.Acid345_0294	Sigma-24	165	Belongs to the sigma-70 factor family. ECF subfamily. 
204669.Acid345_0295	ABF39300.1	239	annotation not available
204669.Acid345_0296	ABF39301.1	726	annotation not available
204669.Acid345_0297	ABF39302.1	813	annotation not available
204669.Acid345_0298	ABF39303.1	423	annotation not available
204669.Acid345_0299	ABF39304.1	292	annotation not available
204669.Acid345_0300	ABF39305.1	214	annotation not available
204669.Acid345_0301	ABF39306.1	184	annotation not available
204669.Acid345_0302	ABF39307.1	422	annotation not available
204669.Acid345_0303	ABF39308.1	140	annotation not available
204669.Acid345_0304	ABF39309.1	361	annotation not available
204669.Acid345_0305	ABF39310.1	252	annotation not available
204669.Acid345_0306	ABF39311.1	82	annotation not available
204669.Acid345_0307	ABF39312.1	1056	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
204669.Acid345_0308	ABF39313.1	421	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
204669.Acid345_0309	ABF39314.1	458	annotation not available
204669.Acid345_0310	ABF39315.1	484	annotation not available
204669.Acid345_0311	ABF39316.1	232	annotation not available
204669.Acid345_0312	ABF39317.1	332	annotation not available
204669.Acid345_0313	Phosphoesterase	305	annotation not available
204669.Acid345_0314	ABF39319.1	156	annotation not available
204669.Acid345_0315	ABF39320.1	1125	annotation not available
204669.Acid345_0316	ABF39321.1	97	annotation not available
204669.Acid345_0317	ABF39322.1	383	Belongs to the glycosyl hydrolase 5 (cellulase A) family. 
204669.Acid345_0318	ABF39323.1	139	annotation not available
204669.Acid345_0319	ASPIC/UnbV	649	annotation not available
204669.Acid345_0320	ABF39325.1	607	annotation not available
204669.Acid345_0321	ABF39326.1	375	Converts alpha-aldose to the beta-anomer. 
204669.Acid345_0322	L-ribulokinase	529	annotation not available
204669.Acid345_0323	ABF39328.1	71	annotation not available
204669.Acid345_0324	ABF39329.1	567	Belongs to the sodium:solute symporter (SSF) (TC 2.A.21) family
204669.Acid345_0325	ABF39330.1	232	annotation not available
204669.Acid345_0326	araA	500	Catalyzes the conversion of L-arabinose to L-ribulose. 
204669.Acid345_0327	ABF39332.1	84	annotation not available
204669.Acid345_0328	Alpha-L-arabinofuranosidase	551	annotation not available
204669.Acid345_0329	ABF39334.1	347	annotation not available
204669.Acid345_0330	ABF39335.1	257	annotation not available
204669.Acid345_0331	ABF39336.1	160	annotation not available
204669.Acid345_0332	ABF39337.1	1066	annotation not available
204669.Acid345_0333	ABF39338.1	314	annotation not available
204669.Acid345_0334	ABF39339.1	285	annotation not available
204669.Acid345_0335	ABF39340.1	473	annotation not available
204669.Acid345_0336	ABF39341.1	355	annotation not available
204669.Acid345_0337	ABF39342.1	170	annotation not available
204669.Acid345_0338	ABF39343.1	217	annotation not available
204669.Acid345_0339	ABF39344.1	253	annotation not available
204669.Acid345_0340	ABF39345.1	319	annotation not available
204669.Acid345_0341	ABF39346.1	874	annotation not available
204669.Acid345_0342	ABF39347.1	120	annotation not available
204669.Acid345_0343	ABF39348.1	344	annotation not available
204669.Acid345_0344	ABF39349.1	209	annotation not available
204669.Acid345_0345	ABF39350.1	343	annotation not available
